               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.053877,            0.050139,                   0,             0.42967,             0.29412,             0.30648,            0.092927,            0.059527,             0.02598,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.050328,            0.051619,                   0,             0.50842,             0.29412,             0.37916,             0.10188,             0.05935,            0.025133,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.052157,            0.052084,                   0,             0.37085,             0.32353,             0.34975,             0.10672,            0.057782,            0.025516,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.052142,            0.058076,                   0,             0.32405,             0.32353,             0.32697,             0.11202,            0.058862,            0.025698,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.051805,            0.054664,                   0,              0.2873,             0.47059,             0.31516,              0.1222,              0.0589,            0.024857,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.049408,            0.050867,                   0,             0.41562,             0.35294,              0.3598,             0.11728,            0.056954,            0.024738,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.050012,            0.050235,                   0,             0.51654,             0.32353,             0.44688,             0.17378,            0.059405,            0.025277,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.050322,            0.051494,                   0,             0.56054,             0.32353,             0.41142,             0.14083,            0.061182,             0.02613,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.048897,            0.048732,                   0,             0.40478,             0.38009,             0.38662,             0.14634,            0.063545,            0.026148,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.050298,            0.051628,                   0,             0.31693,             0.29412,             0.28765,            0.075634,            0.063656,            0.028743,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.046879,            0.054055,                   0,             0.28305,                 0.5,             0.28179,            0.084176,            0.063467,            0.026733,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.049042,            0.052777,                   0,             0.14907,             0.20588,             0.13288,            0.043027,            0.065084,            0.028162,                   0,            0.006766,            0.006766,            0.006766
                  51,              0.0491,            0.057507,                   0,             0.20706,             0.44118,              0.1779,            0.054332,            0.062871,            0.027302,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.048963,            0.054816,                   0,             0.28527,             0.29412,              0.2663,            0.097365,            0.062006,            0.026247,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.047512,             0.05171,                   0,             0.23089,             0.44118,             0.24616,            0.089231,            0.065643,            0.025764,                   0,            0.006568,            0.006568,            0.006568
                  54,             0.04556,            0.045971,                   0,             0.19404,             0.38954,             0.26291,               0.105,            0.064981,             0.02651,                   0,            0.006502,            0.006502,            0.006502
